"q1-1";"q1-2";"q1-3";"omegaC1";"omegaC2";"omegaT1";"omegaT2";"alphaV";"rho1-4";"tau";"rho2";"theta";"epsA"
0,110151772446518;0,624307618640242;0,172846814759308;-0,992471181025517;1,25310972323069;-0,289454559828211;-0,00581342477790767;0,00599052974605099;0,643546239028581;0,174123607717266;0,597668496904276;0,996953529670579;0,0454084899365625
0,118165254261575;0,589468516849529;0,189658122120182;-1,09986968748241;1,29068361591222;-0,255993760398217;0,0758278307225135;0,00779444995274477;0,779611358679699;0,232930114430133;0,206046511702715;0,964194016052178;0,0149012448323874
0,118409678314956;0,577065187603577;0,164520795589764;-1,15597605608534;1,12307035801884;-0,239249345043496;0,178418562494505;0,00658474559620796;0,643640916968199;0,191973864515189;0,532514248774723;0,98093590581599;0,0335145997475541
0,0659647186276073;0,910625029526885;0,179411775139917;-1,78028973973988;1,61046696834188;-0,252150904965869;0,115123847761359;0,0121338060603128;0,34011848675961;0,206307910319588;0,244280244472659;0,999665440411839;0,0398327284301994
0,1142186677932;0,505022376584834;0,169403936488308;-0,931491272728313;1,14391613467438;-0,253134225204857;-0,0700033546353682;0,00710038655063122;0,90004097165749;0,19113101134241;0,451742145057533;0,994207919517597;0,0461075760656312
0,0920046608541971;0,474266196030276;0,172737967511899;-0,631436450590447;0,998260209799035;-0,241268539925925;-0,0145918903637748;0,010618889767386;0,796523313923658;0,172828394427413;0,350927308074262;0,998667297107452;0,0658955085785637
0,103908766367432;0,48480869326749;0,161166458245378;-0,886456111568179;1,25823019554732;-0,104598981771548;-0,142982890811397;0,00845419856281686;0,696761654322352;0,179262034903929;0,632493292086684;0,989800318858887;0,0569057466971148
0,0729995719529445;0,754321266292675;0,176338837464979;-1,20531380591563;1,18417535590376;-0,212380088487579;0,102891133056918;0,0136947988367223;0,312825406769833;0,223433019463463;0,287071592286511;0,983838224905182;0,0219365699295248
0,077254681462199;0,514033742097817;0,176581878123985;-1,01756683638752;1,09431036174695;-0,392289522458968;0,190454390063242;0,0169454161285222;0,504128183300361;0,231871651544682;0,267483013709852;0,910099807617961;0,0351987957037216
0,0817524428073604;0,514430344403646;0,176563075430865;-0,949686631632824;1,00284014248307;-0,338010630908382;0,171112025715529;0,0138018093127964;0,557547594987049;0,21536237643299;0,37031795083297;0,966901039275052;0,0410672158769524
0,0749351062568604;0,465505222834195;0,162220701052509;-0,890014932270799;0,950116828201284;-0,23394158967635;0,0822679665097352;0,016466623284279;0,769921881031869;0,198893269374234;0,190085953038763;0,998697207134945;0,0535337556876357
0,101618749586757;0,474894815111199;0,160025824165519;-0,87752228553709;1,20789870246875;-0,0633647892560503;-0,0830795990176702;0,00948475476837268;0,65753053597336;0,18364237389363;0,611209769275321;0,989592534924485;0,0413015328785734
0,104457853947803;0,584395314934124;0,168903043841849;-0,507644966344904;0,955344678060112;-0,346379238055058;0,0483529585307823;0,00793282998579239;0,462292845590153;0,198882002497;0,670110059074942;0,995056532983873;0,0416336533856853
